Description	
Number of Runs	12
Preset Time	300
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	1984	300	11/03/23 10:33:32 AM	
2	950	1848	300	11/03/23 10:38:32 AM	
3	950	1690	300	11/03/23 10:43:32 AM	
4	950	1629	300	11/03/23 10:48:32 AM	
5	950	1491	300	11/03/23 10:53:32 AM	
6	950	1404	300	11/03/23 10:58:33 AM	
7	950	1334	300	11/03/23 11:03:33 AM	
8	950	1320	300	11/03/23 11:08:33 AM	
9	950	1233	300	11/03/23 11:13:33 AM	
10	950	1222	300	11/03/23 11:18:33 AM	
11	950	1108	300	11/03/23 11:23:33 AM	
12	950	1004	300	11/03/23 11:28:33 AM	
